"quantile","target_end_date","location","target","truth","value","model","window_size"
0.025,2020-08-29,"12","1 wk ahead cum death",11105,10978.7236282453,"QNA3",4
0.025,2020-08-29,"54","1 wk ahead cum death",215,184.38244562255,"QNA3",4
0.025,2020-08-29,"48","1 wk ahead cum death",12987,12462.748283039,"QNA3",4
0.025,2020-08-29,"16","1 wk ahead cum death",358,325.534591803511,"QNA3",4
0.025,2020-08-29,"19","1 wk ahead cum death",1100,1070.61876904307,"QNA3",4
0.025,2020-08-29,"17","1 wk ahead cum death",8217,8177.8320814839,"QNA3",4
0.025,2020-08-29,"20","1 wk ahead cum death",449,435.625492693517,"QNA3",4
0.025,2020-08-29,"25","1 wk ahead cum death",9036,8950.16368089294,"QNA3",4
0.025,2020-08-29,"35","1 wk ahead cum death",769,760.860670656835,"QNA3",4
0.025,2020-08-29,"26","1 wk ahead cum death",6712,6685.23074128439,"QNA3",4
0.025,2020-08-29,"41","1 wk ahead cum death",454,430.137026791022,"QNA3",4
0.025,2020-08-29,"31","1 wk ahead cum death",392,380.118327969838,"QNA3",4
0.05,2020-08-29,"39","1 wk ahead cum death",4126,4072.89170381995,"QNA3",4
0.05,2020-08-29,"01","1 wk ahead cum death",2152,2075.33444177297,"QNA3",4
0.05,2020-08-29,"US","1 wk ahead cum death",183021,182025.656229868,"QNA3",4
0.05,2020-08-29,"23","1 wk ahead cum death",132,131.274454935894,"QNA3",4
0.05,2020-08-29,"41","1 wk ahead cum death",454,432.158895381028,"QNA3",4
0.05,2020-08-29,"28","1 wk ahead cum death",2427,2348.87205084097,"QNA3",4
0.05,2020-08-29,"19","1 wk ahead cum death",1100,1073.8354016637,"QNA3",4
0.05,2020-08-29,"22","1 wk ahead cum death",4904,4843.65056680994,"QNA3",4
0.05,2020-08-29,"02","1 wk ahead cum death",37,32.552865422683,"QNA3",4
0.05,2020-08-29,"25","1 wk ahead cum death",9036,8963.43274489002,"QNA3",4
0.05,2020-08-29,"21","1 wk ahead cum death",921,912.431586711617,"QNA3",4
0.05,2020-08-29,"38","1 wk ahead cum death",141,140.712449515347,"QNA3",4
0.05,2020-08-29,"29","1 wk ahead cum death",1528,1494.68493713485,"QNA3",4
0.05,2020-08-29,"24","1 wk ahead cum death",3746,3717.71191228504,"QNA3",4
0.05,2020-08-29,"37","1 wk ahead cum death",2683,2651.18946636589,"QNA3",4
0.05,2020-08-29,"56","1 wk ahead cum death",37,38.1188239299021,"QNA3",4
0.05,2020-08-29,"20","1 wk ahead cum death",449,438.247642273962,"QNA3",4
0.05,2020-08-29,"40","1 wk ahead cum death",797,770.769322125965,"QNA3",4
0.05,2020-08-29,"55","1 wk ahead cum death",1178,1108.9178471631,"QNA3",4
0.05,2020-08-29,"26","1 wk ahead cum death",6712,6690.77403268449,"QNA3",4
0.05,2020-08-29,"06","1 wk ahead cum death",12894,12951.7880936071,"QNA3",4
0.05,2020-08-29,"10","1 wk ahead cum death",604,600.555586212493,"QNA3",4
0.05,2020-08-29,"47","1 wk ahead cum death",1725,1693.22264919648,"QNA3",4
0.05,2020-08-29,"42","1 wk ahead cum death",7656,7626.10284937057,"QNA3",4
0.05,2020-08-29,"05","1 wk ahead cum death",772,734.510872659869,"QNA3",4
0.05,2020-08-29,"35","1 wk ahead cum death",769,762.275515270684,"QNA3",4
0.05,2020-08-29,"46","1 wk ahead cum death",167,161.411886988451,"QNA3",4
0.05,2020-08-29,"04","1 wk ahead cum death",5007,4937.23017955984,"QNA3",4
0.05,2020-08-29,"31","1 wk ahead cum death",392,382.142243417739,"QNA3",4
0.05,2020-08-29,"45","1 wk ahead cum death",2698,2641.07732946647,"QNA3",4
0.05,2020-08-29,"08","1 wk ahead cum death",1942,1933.32930923067,"QNA3",4
0.05,2020-08-29,"30","1 wk ahead cum death",104,92.0610004011167,"QNA3",4
0.05,2020-08-29,"16","1 wk ahead cum death",358,327.437452375451,"QNA3",4
